id,term,estimate,std.error,statistic,p.value
id_030,(Intercept),1.489094558925006,0.15506250384888026,9.60318917832152,9.26495305000796e-19
id_030,log_y1_lag,0.42634999527908013,0.054084091595131466,7.883094320427843,1.0237942677220388e-13
id_030,log_cx,-0.48235363121742425,0.17385522557073574,-2.774455755551455,0.005951909954978137
id_030,log_ax,0.18082530154463983,0.029065514373624365,6.221300583922595,2.0942538084976577e-9
id_132,(Intercept),1.1684397293792772,0.10458879214318761,11.17174895546763,1.0058150074768007e-23
id_132,log_y1_lag,0.35647064362775815,0.05516742696672608,6.461614456711229,5.475866188694344e-10
id_132,log_cx,0.1668335156947149,0.063373690360049445,2.6325359111465945,0.00900914275005574
id_132,log_ax,0.21479093275126993,0.032073631140588525,6.696807474332283,1.4259128634924693e-10
id_179,(Intercept),1.2720203608650098,0.16022331289488093,7.939046683546951,7.152825781319231e-14
id_179,log_y1_lag,0.5970257863818172,0.04692926918072501,12.72182151575099,7.488045680695275e-29
id_179,log_cx,-0.4231767754164737,0.14266218353805146,-2.966285563010482,0.003309762447706353
id_179,log_ax,0.09381475455224841,0.014387511729120533,6.5205684150627645,3.9199048169008816e-10
id_244,(Intercept),2.6183885642075007,0.17077654130956968,15.332249641132508,9.82629898733705e-38
id_244,log_y1_lag,0.03257939415368926,0.06163507919581467,0.528585256622848,0.5975678182536273
id_244,log_cx,0.03017508522412734,0.03918896669106689,0.7699893049490825,0.44204201917348285
id_244,log_ax,0.09770252619000634,0.015030507437519694,6.500281284324292,4.398785219750839e-10
id_413,(Intercept),0.9517923951670445,0.09177054478850309,10.37143668876077,3.720679748864334e-21
id_413,log_y1_lag,0.48002979991756844,0.046317102190319995,10.363986027128698,3.928343548270163e-21
id_413,log_cx,0.18870195706385212,0.12418757300478066,1.5194914635829782,0.12991782005233005
id_413,log_ax,0.3765304620384411,0.043213710503814354,8.713217579527354,4.3535243241697704e-16
id_477,(Intercept),0.9617021967465706,0.11976457928424616,8.029938421643777,3.9826710671700746e-14
id_477,log_y1_lag,0.6291224510292845,0.040887903451349815,15.386517721013538,6.404187411828037e-38
id_477,log_cx,-0.1728617186345649,0.04496799559568338,-3.844105487573888,1.5396335518155923e-4
id_477,log_ax,0.3513095295866083,0.04335404958250219,8.103269082581798,2.476455581380251e-14
id_533,(Intercept),1.1034882671840331,0.10743833641824832,10.270898675201439,7.733248689717406e-21
id_533,log_y1_lag,0.40237184080515587,0.05439155102507553,7.397690141611422,2.1589804560329376e-12
id_533,log_cx,0.033156876911222,0.036044129486348365,0.919896731693301,0.35852423184886706
id_533,log_ax,0.12420394658261402,0.02019741830646597,6.149496173124838,3.1058327969395693e-9
id_609,(Intercept),2.1030675486591526,0.16122589073552332,13.044229677161761,6.153434817500964e-30
id_609,log_y1_lag,0.29524465513559367,0.05268416666271234,5.604049068969246,5.5795388905443025e-8
id_609,log_cx,0.04232619059121255,0.051093675578282524,0.8284037136134983,0.4082416439491098
id_609,log_ax,0.11869632095591164,0.014264515804653467,8.321090079846224,5.954874192468324e-15
id_637,(Intercept),2.713247506435476,0.18759998905619626,14.46294064347047,9.280420787676887e-35
id_637,log_y1_lag,0.12648946388518192,0.05879668762018988,2.1513025478963783,0.03242244519618699
id_637,log_cx,-0.03609677077848385,0.02393734885392799,-1.5079686141834607,0.13284052872058533
id_637,log_ax,0.06801924812874122,0.010987328251558725,6.190699556017326,2.4781901224719265e-9
id_754,(Intercept),0.620977830630408,0.0880410501471457,7.05327605239316,1.748800642242818e-11
id_754,log_y1_lag,0.689097255068906,0.042517803623810434,16.207263695131324,9.880290124829832e-41
id_754,log_cx,0.10393954621354755,0.059618472380334374,1.7434117659115471,0.08250598164037723
id_754,log_ax,0.1617988080951745,0.025625505524885368,6.313975267260538,1.2535283663684024e-9
